timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650012736492,1828,login,200,OK,Invalid user 3-1,text,true,,253,437,4,13,https://api.demoblaze.com/login,1828,0,1527
1650012737488,868,login,200,OK,Login 2-3,text,true,,244,442,4,12,https://api.demoblaze.com/login,868,0,531
1650012736248,2111,productid1,200,OK,Item Buy 4-1,text,true,,494,408,1,12,https://api.demoblaze.com/view,2110,0,1770
1650012737117,1246,login,200,OK,Invalid user 3-2,text,true,,253,437,3,12,https://api.demoblaze.com/login,1246,0,902
1650012737796,568,login,200,OK,Invalid user 3-3,text,true,,248,435,3,12,https://api.demoblaze.com/login,568,0,224
1650012736248,2121,login,200,OK,Login 2-1,text,true,,253,442,4,11,https://api.demoblaze.com/login,2121,0,1771
1650012736821,1581,login,200,OK,Login 2-2,text,true,,244,440,4,10,https://api.demoblaze.com/login,1581,0,1207
1650012738158,486,login,200,OK,Login 2-4,text,true,,248,440,4,10,https://api.demoblaze.com/login,486,0,191
1650012738365,315,bycat1,200,OK,Item Buy 4-1,text,true,,2153,414,1,10,https://api.demoblaze.com/bycat,315,0,0
1650012738449,522,login,200,OK,Invalid user 3-4,text,true,,248,435,1,11,https://api.demoblaze.com/login,522,0,185
1650012738815,640,login,200,OK,Login 2-5,text,true,,248,442,5,12,https://api.demoblaze.com/login,640,0,353
1650012737144,2333,homePage,200,OK,Registration 1-2,text,true,,451395,8474,5,12,https://www.demoblaze.com/index.html,969,0,875
1650012737144,972,homePage-0,200,OK,Registration 1-2,text,true,,5350,513,5,12,https://www.demoblaze.com/index.html,969,0,875
1650012738267,313,homePage-1,200,OK,Registration 1-2,bin,true,,5839,514,5,12,https://www.demoblaze.com/favicon.ico,312,0,229
1650012738266,360,homePage-2,200,OK,Registration 1-2,text,true,,28403,552,5,12,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,292,0,0
1650012738266,325,homePage-3,200,OK,Registration 1-2,text,true,,12380,546,5,12,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,311,0,230
1650012738274,303,homePage-4,200,OK,Registration 1-2,text,true,,1294,520,5,12,https://www.demoblaze.com/css/latofonts.css,303,0,222
1650012738276,305,homePage-5,200,OK,Registration 1-2,text,true,,865,520,5,12,https://www.demoblaze.com/css/latostyle.css,301,0,220
1650012738278,306,homePage-6,200,OK,Registration 1-2,bin,true,,4263,509,5,12,https://www.demoblaze.com/bm.png,300,0,218
1650012738582,147,homePage-7,200,OK,Registration 1-2,bin,true,,27679,515,5,12,https://www.demoblaze.com/Samsung1.jpg,76,0,0
1650012738585,406,homePage-8,200,OK,Registration 1-2,bin,true,,34140,513,5,12,https://www.demoblaze.com/nexus1.jpg,387,0,0
1650012738730,247,homePage-9,200,OK,Registration 1-2,bin,true,,34899,514,5,12,https://www.demoblaze.com/iphone1.jpg,87,0,0
1650012738977,353,homePage-10,200,OK,Registration 1-2,text,true,,35672,541,5,12,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,275,0,194
1650012738995,230,homePage-11,200,OK,Registration 1-2,text,true,,160066,542,5,12,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,78,0,0
1650012739057,420,homePage-12,200,OK,Registration 1-2,text,true,,72915,567,5,12,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,274,0,194
1650012739057,286,homePage-13,200,OK,Registration 1-2,text,true,,9094,544,5,12,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,274,0,195
1650012739119,286,homePage-14,200,OK,Registration 1-2,text,true,,15763,550,5,12,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,274,0,0
1650012739226,79,homePage-15,200,OK,Registration 1-2,text,true,,2773,514,5,12,https://www.demoblaze.com/js/index.js,79,0,0
1650012736494,2985,homePage,200,OK,Registration 1-1,text,true,,452434,8474,5,13,https://www.demoblaze.com/index.html,1619,0,1525
1650012736494,1622,homePage-0,200,OK,Registration 1-1,text,true,,5077,513,5,13,https://www.demoblaze.com/index.html,1619,0,1525
1650012738269,525,homePage-1,200,OK,Registration 1-1,bin,true,,5852,514,5,13,https://www.demoblaze.com/favicon.ico,519,0,233
